8
8
100
['dA_v2', 'dB_v3', 'dB_v4', 'dB_v2', 'dB_v1', 'dA_v1', 'dC_v1']
['dD_v2', 'dC_v2', 'dC_v4', 'dC_v3', 'dA_v2', 'dA_v1', 'dC_v1']
['dC_v3', 'dA_v2', 'dA_v1', 'dB_v1', 'dB_v2', 'dB_v4', 'dD_v1', 'dD_v2', 'dC_v2', 'dC_v1']
['dA_v1', 'dA_v2', 'dB_v3', 'dB_v4', 'dB_v2', 'dD_v1', 'dD_v2', 'dC_v2', 'dC_v4', 'dC_v3', 'dC_v1']
310 ['0.0003', '0.0001', '0.0002', '0.0001']
311 ['0.0001', '0.0000', '0.0001', '0.0000']
312 ['0.0001', '0.0000', '0.0001', '0.0000']
313 ['0.9978', '0.0027', '0.0009', '0.9971']
314 ['0.0059', '0.9949', '0.9980', '0.9963']
315 ['0.0003', '0.0002', '0.0001', '0.0001']
316 ['0.0001', '0.0000', '0.0001', '0.0000']
317 ['0.0001', '0.0000', '0.0001', '0.0000']
318 ['0.0001', '0.0000', '0.0001', '0.0000']
319 ['0.0001', '0.0000', '0.0001', '0.0000']
320 ['0.0001', '0.0000', '0.0001', '0.0000']
321 ['0.0001', '0.0000', '0.0001', '0.0000']
322 ['0.0001', '0.0001', '0.0008', '0.0000']
323 ['0.0001', '0.0000', '0.0001', '0.0000']
324 ['0.0001', '0.0000', '0.0001', '0.0000']
325 ['0.0001', '0.0000', '0.0001', '0.0000']
326 ['0.0001', '0.0000', '0.0001', '0.0000']
327 ['0.0001', '0.0000', '0.0001', '0.0000']
328 ['0.0001', '0.0000', '0.0002', '0.0000']
329 ['0.0001', '0.0000', '0.0001', '0.0000']
330 ['0.0000', '0.0007', '0.9974', '0.0019']
331 ['0.0001', '0.0000', '0.0002', '0.0000']
332 ['0.0001', '0.0000', '0.0001', '0.0000']
333 ['0.0001', '0.0000', '0.0001', '0.0000']
334 ['0.9982', '0.9984', '0.0003', '0.0025']
335 ['0.0003', '0.0001', '0.0002', '0.0001']
336 ['0.9985', '0.9985', '0.0004', '0.0032']
337 ['0.0004', '0.0001', '0.0001', '0.0000']
338 ['0.0002', '0.0000', '0.0002', '0.0000']
339 ['0.0001', '0.0000', '0.0001', '0.0000']
340 ['0.0000', '0.0011', '0.9987', '0.0029']
341 ['0.9965', '0.0032', '0.0020', '0.9975']
342 ['0.0003', '0.0001', '0.0001', '0.0002']
343 ['0.0001', '0.0000', '0.0000', '0.0000']
344 ['0.0001', '0.0000', '0.0001', '0.0000']
345 ['0.0044', '0.9951', '0.9988', '0.9948']
346 ['0.0002', '0.0002', '0.0002', '0.0001']
347 ['0.0001', '0.0000', '0.0001', '0.0000']
348 ['0.0001', '0.0001', '0.0002', '0.0000']
349 ['0.0001', '0.0000', '0.0001', '0.0000']
350 ['0.0001', '0.0001', '0.0005', '0.0000']
351 ['0.0000', '0.0015', '0.9970', '0.0015']
352 ['0.0001', '0.0000', '0.0002', '0.0000']
353 ['0.0001', '0.0000', '0.0002', '0.0000']
354 ['0.0001', '0.0000', '0.0001', '0.0000']
355 ['0.0001', '0.0000', '0.0001', '0.0000']
356 ['0.0039', '0.9950', '0.9988', '0.9943']
357 ['0.0002', '0.0003', '0.0003', '0.0001']
358 ['0.0001', '0.0000', '0.0001', '0.0000']
359 ['0.0001', '0.0001', '0.0001', '0.0000']
360 ['0.0001', '0.0000', '0.0000', '0.0000']
361 ['0.0001', '0.0000', '0.0001', '0.0000']
362 ['0.0001', '0.0000', '0.0001', '0.0000']
363 ['0.0001', '0.0000', '0.0001', '0.0000']
364 ['0.0000', '0.0008', '0.9981', '0.0023']
365 ['0.0001', '0.0000', '0.0003', '0.0000']
366 ['0.9980', '0.9984', '0.0004', '0.0032']
367 ['0.0004', '0.0001', '0.0001', '0.0001']
368 ['0.0000', '0.0014', '0.9982', '0.0030']
369 ['0.0001', '0.0000', '0.0002', '0.0000']
370 ['0.0002', '0.0001', '0.0001', '0.0000']
371 ['0.9973', '0.0022', '0.0011', '0.9973']
372 ['0.0002', '0.0001', '0.0003', '0.0002']
373 ['0.0002', '0.0000', '0.0000', '0.0000']
374 ['0.0001', '0.0000', '0.0002', '0.0000']
375 ['0.0000', '0.0012', '0.9983', '0.0026']
376 ['0.0002', '0.0000', '0.0002', '0.0000']
377 ['0.9980', '0.9984', '0.0004', '0.0032']
378 ['0.0004', '0.0001', '0.0001', '0.0000']
379 ['0.0002', '0.0001', '0.0001', '0.0000']
380 ['0.0001', '0.0000', '0.0001', '0.0000']
381 ['0.0001', '0.0000', '0.0001', '0.0000']
382 ['0.0043', '0.9956', '0.9988', '0.9950']
383 ['0.9959', '0.9974', '0.0009', '0.0059']
384 ['0.0004', '0.0001', '0.0001', '0.0001']
385 ['0.9980', '0.0026', '0.0010', '0.9969']
386 ['0.0003', '0.0002', '0.0003', '0.0002']
387 ['0.0001', '0.0000', '0.0001', '0.0000']
388 ['0.9981', '0.9982', '0.0003', '0.0027']
389 ['0.0004', '0.0001', '0.0001', '0.0001']
390 ['0.9981', '0.0026', '0.0011', '0.9972']
391 ['0.0003', '0.0001', '0.0001', '0.0002']
392 ['0.0002', '0.0000', '0.0000', '0.0000']
393 ['0.0001', '0.0000', '0.0001', '0.0000']
394 ['0.9984', '0.9982', '0.0002', '0.0024']
395 ['0.0004', '0.0001', '0.0001', '0.0000']
396 ['0.0002', '0.0000', '0.0001', '0.0000']
397 ['0.0000', '0.0007', '0.9976', '0.0026']
398 ['0.0046', '0.9950', '0.9990', '0.9964']
399 ['0.0002', '0.0003', '0.0003', '0.0001']
400 ['0.0001', '0.0000', '0.0001', '0.0000']
401 ['0.0001', '0.0000', '0.0001', '0.0000']
402 ['0.0001', '0.0000', '0.0001', '0.0000']
403 ['0.0001', '0.0000', '0.0002', '0.0000']
404 ['0.0002', '0.0000', '0.0001', '0.0000']
405 ['0.0001', '0.0000', '0.0001', '0.0000']
406 ['0.0001', '0.0000', '0.0001', '0.0000']
407 ['0.0001', '0.0000', '0.0001', '0.0000']
408 ['0.9982', '0.9983', '0.0003', '0.0022']
409 ['0.9976', '0.0034', '0.0011', '0.9970']
410 ['0.0003', '0.0001', '0.0002', '0.0001']
411 ['0.0001', '0.0000', '0.0001', '0.0000']
412 ['0.0001', '0.0000', '0.0001', '0.0000']
413 ['0.9978', '0.0027', '0.0009', '0.9971']
414 ['0.0059', '0.9949', '0.9980', '0.9963']
415 ['0.0003', '0.0002', '0.0001', '0.0001']
416 ['0.0001', '0.0000', '0.0001', '0.0000']
417 ['0.0001', '0.0000', '0.0001', '0.0000']
418 ['0.0001', '0.0000', '0.0001', '0.0000']
419 ['0.0001', '0.0000', '0.0001', '0.0000']
420 ['0.0001', '0.0000', '0.0001', '0.0000']
421 ['0.0001', '0.0000', '0.0001', '0.0000']
422 ['0.0001', '0.0001', '0.0008', '0.0000']
423 ['0.0001', '0.0000', '0.0001', '0.0000']
424 ['0.0001', '0.0000', '0.0001', '0.0000']
425 ['0.0001', '0.0000', '0.0001', '0.0000']
426 ['0.0001', '0.0000', '0.0001', '0.0000']
427 ['0.0001', '0.0000', '0.0001', '0.0000']
428 ['0.0001', '0.0000', '0.0002', '0.0000']
